Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
05-05-2011,WIPRO,EQ,437,436,438.7,428,436,432.5,432.62,1340012,5.80E+13,,831326,0.6204
06-05-2011,WIPRO,EQ,432.5,437,452.9,435.2,440.65,442.45,441.75,1228754,5.43E+13,,725164,0.5902
06-05-2011,WIPRO,EQ,432.5,437,452.9,435.2,440.65,442.45,441.75,1228754,5.43E+13,,725164,0.5902
09-05-2011,WIPRO,EQ,442.45,440.55,442.5,435.2,436.5,436.15,437.63,287835,1.26E+13,,124241,0.4316
10-05-2011,WIPRO,EQ,436.15,435.1,442.45,432.2,436.45,436.3,437.47,361611,1.58E+13,,78006,0.2157
11-05-2011,WIPRO,EQ,436.3,439.9,442.9,435.25,436,439.15,439.78,702219,3.09E+13,,389871,0.5552
12-05-2011,WIPRO,EQ,439.15,434.15,439.8,431.6,431.6,433.3,435.56,524830,2.29E+13,,298117,0.568
13-05-2011,WIPRO,EQ,433.3,433,445.2,432.5,443,442.55,442.29,1182663,5.23E+13,,773768,0.6543
16-05-2011,WIPRO,EQ,442.55,444.7,444.7,435.15,440,439.95,439.01,748683,3.29E+13,,470656,0.6286
17-05-2011,WIPRO,EQ,439.95,437.2,443.7,434.3,438,437.5,436.72,786055,3.43E+13,,561372,0.7142
18-05-2011,WIPRO,EQ,437.5,438,450,438,445,446.15,447.07,873244,3.90E+13,,448277,0.5133
19-05-2011,WIPRO,EQ,446.15,448.6,448.6,440.2,444,442.8,443.17,284897,1.26E+13,,129503,0.4546
20-05-2011,WIPRO,EQ,442.8,446.8,448.85,440.5,448.5,447.35,445.96,372881,1.66E+13,,171254,0.4593
23-05-2011,WIPRO,EQ,447.35,440,442,435,440.25,440.05,439.04,336306,1.48E+13,,153035,0.455
24-05-2011,WIPRO,EQ,440.05,438.55,444.95,438.55,439.5,439.9,440.98,706846,3.12E+13,,458757,0.649
25-05-2011,WIPRO,EQ,439.9,442,442,430.55,436,435.6,435.79,950874,4.14E+13,,651211,0.6849
26-05-2011,WIPRO,EQ,435.6,437.1,439.85,432.75,434,434.9,435.66,1706769,7.44E+13,,1194275,0.6997
27-05-2011,WIPRO,EQ,434.9,433.1,444.7,433.1,442.7,442.05,440.02,597057,2.63E+13,,347814,0.5825
30-05-2011,WIPRO,EQ,442.05,441.55,446.65,439.65,441.45,441.8,443.98,616964,2.74E+13,,378188,0.613
31-05-2011,WIPRO,EQ,441.8,440.4,450.5,440.4,447,446.4,447.73,1909425,8.55E+13,,1587005,0.8311
01-06-2011,WIPRO,EQ,446.4,445.1,450.9,445.1,448.4,448.3,448.07,446583,2.00E+13,9109,200055,0.448
02-06-2011,WIPRO,EQ,448.3,445,447.45,441.3,442,442.95,443.49,619349,2.75E+13,9419,314795,0.5083
03-06-2011,WIPRO,EQ,442.95,439,449.9,439,443,443.1,444.68,545229,2.42E+13,12583,254440,0.4667
06-06-2011,WIPRO,EQ,443.1,442,446.95,438,444.25,445.05,442.88,390150,1.73E+13,8377,156061,0.4
07-06-2011,WIPRO,EQ,445.05,442.5,444.5,439.55,441,440.6,441.88,941417,4.16E+13,13766,671914,0.7137
08-06-2011,WIPRO,EQ,440.6,441.8,443.3,437.6,442,441.2,440.86,440868,1.94E+13,12920,237636,0.539
